"","EstacaoCodigo","Data","Vazão","Mês","Ano","Dia"
"286",58874000,1940-10-12,16.283701,10,1940,12
"287",58874000,1940-10-13,23.145,10,1940,13
"288",58874000,1940-10-14,24.3925,10,1940,14
"289",58874000,1940-10-15,22.735701,10,1940,15
"290",58874000,1940-10-16,20.3489,10,1940,16
"291",58874000,1940-10-17,18.823799,10,1940,17
"292",58874000,1940-10-18,16.6364,10,1940,18
"293",58874000,1940-10-19,17.715,10,1940,19
"294",58874000,1940-10-20,18.4508,10,1940,20
"295",58874000,1940-10-21,19.962601,10,1940,21
"296",58874000,1940-10-22,22.3297,10,1940,22
"297",58874000,1940-10-23,24.3925,10,1940,23
"298",58874000,1940-10-24,23.9734,10,1940,24
"299",58874000,1940-10-25,29.2157,10,1940,25
"300",58874000,1940-10-26,32.009602,10,1940,26
"301",58874000,1940-10-27,40.539902,10,1940,27
"302",58874000,1940-10-28,38.4519,10,1940,28
"303",58874000,1940-10-29,34.917301,10,1940,29
"304",58874000,1940-10-30,33.935501,10,1940,30
"305",58874000,1940-10-31,31.535999,10,1940,31
"306",58874000,1940-11-01,29.2157,11,1940,1
"307",58874000,1940-11-02,26.9751,11,1940,2
"308",58874000,1940-11-03,23.5576,11,1940,3
"309",58874000,1940-11-04,21.5275,11,1940,4
"310",58874000,1940-11-05,19.962601,11,1940,5
"311",58874000,1940-11-06,19.962601,11,1940,6
"312",58874000,1940-11-07,60.886002,11,1940,7
"313",58874000,1940-11-08,59.6245,11,1940,8
"314",58874000,1940-11-09,49.382599,11,1940,9
"315",58874000,1940-11-10,41.069599,11,1940,10
"316",58874000,1940-11-11,33.449299,11,1940,11
"317",58874000,1940-11-12,32.966301,11,1940,12
"318",58874000,1940-11-13,32.966301,11,1940,13
"319",58874000,1940-11-14,40.013302,11,1940,14
"320",58874000,1940-11-15,45.975201,11,1940,15
"321",58874000,1940-11-16,131.32381,11,1940,16
"322",58874000,1940-11-17,109.0048,11,1940,17
"323",58874000,1940-11-18,109.8287,11,1940,18
"324",58874000,1940-11-19,92.3479,11,1940,19
"325",58874000,1940-11-20,69.372597,11,1940,20
"326",58874000,1940-11-21,51.127102,11,1940,21
"327",58874000,1940-11-22,40.539902,11,1940,22
"328",58874000,1940-11-23,36.413399,11,1940,23
"329",58874000,1940-11-24,32.966301,11,1940,24
"330",58874000,1940-11-25,30.5984,11,1940,25
"331",58874000,1940-11-26,30.5984,11,1940,26
"332",58874000,1940-11-27,34.424801,11,1940,27
"333",58874000,1940-11-28,40.013302,11,1940,28
"334",58874000,1940-11-29,72.768204,11,1940,29
"335",58874000,1940-11-30,84.119301,11,1940,30
"336",58874000,1940-12-01,73.456001,12,1940,1
"337",58874000,1940-12-02,60.886002,12,1940,2
"338",58874000,1940-12-03,44.3125,12,1940,3
"339",58874000,1940-12-04,35.4128,12,1940,4
"340",58874000,1940-12-05,32.486401,12,1940,5
"341",58874000,1940-12-06,32.486401,12,1940,6
"342",58874000,1940-12-07,32.486401,12,1940,7
"343",58874000,1940-12-08,31.065599,12,1940,8
"344",58874000,1940-12-09,28.7612,12,1940,9
"345",58874000,1940-12-10,26.101299,12,1940,10
"346",58874000,1940-12-11,24.3925,12,1940,11
"347",58874000,1940-12-12,23.9734,12,1940,12
"348",58874000,1940-12-13,23.5576,12,1940,13
"349",58874000,1940-12-14,23.5576,12,1940,14
"350",58874000,1940-12-15,22.735701,12,1940,15
"351",58874000,1940-12-16,21.926901,12,1940,16
"352",58874000,1940-12-17,21.1313,12,1940,17
"353",58874000,1940-12-18,23.145,12,1940,18
"354",58874000,1940-12-19,40.013302,12,1940,19
"355",58874000,1940-12-20,39.4897,12,1940,20
"356",58874000,1940-12-21,35.911598,12,1940,21
"357",58874000,1940-12-22,32.966301,12,1940,22
"358",58874000,1940-12-23,36.413399,12,1940,23
"359",58874000,1940-12-24,166.25529,12,1940,24
"360",58874000,1940-12-25,906.8576,12,1940,25
"361",58874000,1940-12-26,473.78741,12,1940,26
"362",58874000,1940-12-27,203.7392,12,1940,27
"363",58874000,1940-12-28,114.8305,12,1940,28
"364",58874000,1940-12-29,87.071701,12,1940,29
"365",58874000,1940-12-30,74.840302,12,1940,30
"366",58874000,1940-12-31,67.370201,12,1940,31
"367",58874000,1941-01-01,66.049896,1,1941,1
"368",58874000,1941-01-02,104.9269,1,1941,2
"369",58874000,1941-01-03,126.8875,1,1941,3
"370",58874000,1941-01-04,115.6738,1,1941,4
"371",58874000,1941-01-05,92.3479,1,1941,5
"372",58874000,1941-01-06,70.045898,1,1941,6
"373",58874000,1941-01-07,60.886002,1,1941,7
"374",58874000,1941-01-08,53.495201,1,1941,8
"375",58874000,1941-01-09,48.807098,1,1941,9
"376",58874000,1941-01-10,46.5355,1,1941,10
"377",58874000,1941-01-11,45.4179,1,1941,11
"378",58874000,1941-01-12,43.764301,1,1941,12
"379",58874000,1941-01-13,45.975201,1,1941,13
"380",58874000,1941-01-14,52.898602,1,1941,14
"381",58874000,1941-01-15,57.754501,1,1941,15
"382",58874000,1941-01-16,51.127102,1,1941,16
"383",58874000,1941-01-17,48.807098,1,1941,17
"384",58874000,1941-01-18,52.305099,1,1941,18
"385",58874000,1941-01-19,58.374901,1,1941,19
"386",58874000,1941-01-20,58.374901,1,1941,20
"387",58874000,1941-01-21,60.253799,1,1941,21
"388",58874000,1941-01-22,54.0947,1,1941,22
"389",58874000,1941-01-23,54.697201,1,1941,23
"390",58874000,1941-01-24,61.521198,1,1941,24
"391",58874000,1941-01-25,54.0947,1,1941,25
"392",58874000,1941-01-26,64.741302,1,1941,26
"393",58874000,1941-01-27,70.722099,1,1941,27
"394",58874000,1941-01-28,68.034798,1,1941,28
"395",58874000,1941-01-29,54.0947,1,1941,29
"396",58874000,1941-01-30,45.975201,1,1941,30
"397",58874000,1941-01-31,41.069599,1,1941,31
"398",58874000,1941-02-01,38.9692,2,1941,1
"399",58874000,1941-02-02,36.918301,2,1941,2
"400",58874000,1941-02-03,37.937599,2,1941,3
"401",58874000,1941-02-04,36.918301,2,1941,4
"402",58874000,1941-02-05,34.917301,2,1941,5
"403",58874000,1941-02-06,32.966301,2,1941,6
"404",58874000,1941-02-07,32.009602,2,1941,7
"405",58874000,1941-02-08,32.486401,2,1941,8
"406",58874000,1941-02-09,32.009602,2,1941,9
"407",58874000,1941-02-10,30.1343,2,1941,10
"408",58874000,1941-02-11,29.673401,2,1941,11
"409",58874000,1941-02-12,28.7612,2,1941,12
"410",58874000,1941-02-13,27.8617,2,1941,13
"411",58874000,1941-02-14,27.4168,2,1941,14
"412",58874000,1941-02-15,26.5366,2,1941,15
"413",58874000,1941-02-16,25.6693,2,1941,16
"414",58874000,1941-02-17,24.3925,2,1941,17
"415",58874000,1941-02-18,25.6693,2,1941,18
"416",58874000,1941-02-19,27.8617,2,1941,19
"417",58874000,1941-02-20,34.917301,2,1941,20
"418",58874000,1941-02-21,34.917301,2,1941,21
"419",58874000,1941-02-22,33.935501,2,1941,22
"420",58874000,1941-02-23,33.449299,2,1941,23
"421",58874000,1941-02-24,34.424801,2,1941,24
"422",58874000,1941-02-25,36.413399,2,1941,25
"423",58874000,1941-02-26,58.374901,2,1941,26
"424",58874000,1941-02-27,73.456001,2,1941,27
"425",58874000,1941-02-28,62.8004,2,1941,28
"426",58874000,1941-03-01,55.911201,3,1941,1
"427",58874000,1941-03-02,54.0947,3,1941,2
"428",58874000,1941-03-03,51.127102,3,1941,3
"429",58874000,1941-03-04,50.542599,3,1941,4
"430",58874000,1941-03-05,44.863602,3,1941,5
"431",58874000,1941-03-06,40.539902,3,1941,6
"432",58874000,1941-03-07,41.602402,3,1941,7
"433",58874000,1941-03-08,43.764301,3,1941,8
"434",58874000,1941-03-09,54.697201,3,1941,9
"435",58874000,1941-03-10,54.697201,3,1941,10
"436",58874000,1941-03-11,47.665199,3,1941,11
"437",58874000,1941-03-12,40.013302,3,1941,12
"438",58874000,1941-03-13,35.911598,3,1941,13
"439",58874000,1941-03-14,34.424801,3,1941,14
"440",58874000,1941-03-15,35.4128,3,1941,15
"441",58874000,1941-03-16,40.539902,3,1941,16
"442",58874000,1941-03-17,61.521198,3,1941,17
"443",58874000,1941-03-18,54.0947,3,1941,18
"444",58874000,1941-03-19,63.444401,3,1941,19
"445",58874000,1941-03-20,76.938499,3,1941,20
"446",58874000,1941-03-21,70.045898,3,1941,21
"447",58874000,1941-03-22,63.444401,3,1941,22
"448",58874000,1941-03-23,55.911201,3,1941,23
"449",58874000,1941-03-24,47.098801,3,1941,24
"450",58874000,1941-03-25,45.4179,3,1941,25
"451",58874000,1941-03-26,47.098801,3,1941,26
"452",58874000,1941-03-27,78.3517,3,1941,27
"453",58874000,1941-03-28,76.236198,3,1941,28
"454",58874000,1941-03-29,61.521198,3,1941,29
"455",58874000,1941-03-30,48.807098,3,1941,30
"456",58874000,1941-03-31,44.863602,3,1941,31
"457",58874000,1941-04-01,44.3125,4,1941,1
"458",58874000,1941-04-02,45.975201,4,1941,2
"459",58874000,1941-04-03,47.665199,4,1941,3
"460",58874000,1941-04-04,57.754501,4,1941,4
"461",58874000,1941-04-05,62.159302,4,1941,5
"462",58874000,1941-04-06,56.522598,4,1941,6
"463",58874000,1941-04-07,53.495201,4,1941,7
"464",58874000,1941-04-08,51.7146,4,1941,8
"465",58874000,1941-04-09,49.960999,4,1941,9
"466",58874000,1941-04-10,45.4179,4,1941,10
"467",58874000,1941-04-11,59.6245,4,1941,11
"468",58874000,1941-04-12,65.394096,4,1941,12
"469",58874000,1941-04-13,54.0947,4,1941,13
"470",58874000,1941-04-14,45.975201,4,1941,14
"471",58874000,1941-04-15,41.602402,4,1941,15
"472",58874000,1941-04-16,38.4519,4,1941,16
"473",58874000,1941-04-17,37.937599,4,1941,17
"474",58874000,1941-04-18,37.426399,4,1941,18
"475",58874000,1941-04-19,36.413399,4,1941,19
"476",58874000,1941-04-20,35.4128,4,1941,20
"477",58874000,1941-04-21,35.4128,4,1941,21
"478",58874000,1941-04-22,34.424801,4,1941,22
"479",58874000,1941-04-23,33.935501,4,1941,23
"480",58874000,1941-04-24,33.449299,4,1941,24
"481",58874000,1941-04-25,32.009602,4,1941,25
"482",58874000,1941-04-26,31.535999,4,1941,26
"483",58874000,1941-04-27,31.535999,4,1941,27
"484",58874000,1941-04-28,30.5984,4,1941,28
"485",58874000,1941-04-29,30.5984,4,1941,29
"486",58874000,1941-04-30,30.1343,4,1941,30
"487",58874000,1941-05-01,29.673401,5,1941,1
"488",58874000,1941-05-02,29.2157,5,1941,2
"489",58874000,1941-05-03,28.7612,5,1941,3
"490",58874000,1941-05-04,28.7612,5,1941,4
"491",58874000,1941-05-05,27.4168,5,1941,5
"492",58874000,1941-05-06,26.9751,5,1941,6
"493",58874000,1941-05-07,27.8617,5,1941,7
"494",58874000,1941-05-08,30.1343,5,1941,8
"495",58874000,1941-05-09,34.424801,5,1941,9
"496",58874000,1941-05-10,33.935501,5,1941,10
"497",58874000,1941-05-11,30.5984,5,1941,11
"498",58874000,1941-05-12,28.7612,5,1941,12
"499",58874000,1941-05-13,27.8617,5,1941,13
"500",58874000,1941-05-14,26.9751,5,1941,14
"501",58874000,1941-05-15,26.101299,5,1941,15
"502",58874000,1941-05-16,26.101299,5,1941,16
"503",58874000,1941-05-17,26.101299,5,1941,17
"504",58874000,1941-05-18,26.9751,5,1941,18
"505",58874000,1941-05-19,28.3099,5,1941,19
"506",58874000,1941-05-20,29.2157,5,1941,20
"507",58874000,1941-05-21,28.3099,5,1941,21
"508",58874000,1941-05-22,27.8617,5,1941,22
"509",58874000,1941-05-23,26.101299,5,1941,23
"510",58874000,1941-05-24,26.5366,5,1941,24
"511",58874000,1941-05-25,29.2157,5,1941,25
"512",58874000,1941-05-26,28.7612,5,1941,26
"513",58874000,1941-05-27,29.2157,5,1941,27
"514",58874000,1941-05-28,26.5366,5,1941,28
"515",58874000,1941-05-29,25.6693,5,1941,29
"516",58874000,1941-05-30,24.814899,5,1941,30
"517",58874000,1941-05-31,25.6693,5,1941,31
"518",58874000,1941-06-01,27.8617,6,1941,1
"519",58874000,1941-06-02,31.065599,6,1941,2
"520",58874000,1941-06-03,32.486401,6,1941,3
"521",58874000,1941-06-04,28.3099,6,1941,4
"522",58874000,1941-06-05,26.5366,6,1941,5
"523",58874000,1941-06-06,25.2404,6,1941,6
"524",58874000,1941-06-07,24.3925,6,1941,7
"525",58874000,1941-06-08,24.3925,6,1941,8
